,station_id,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,is_charging_station,nearby_distance,x_ride_code_support,cross_street,last_updated,ttl
0,1,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801069,16,"GRAN VIA CORTS CATALANES, 760",8013,46,True,1000,True,,1661983179,2
1,2,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.3954877,2.1771985,17,"C/ ROGER DE FLOR, 126",8013,29,True,1000,True,,1661983179,2
2,3,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.3941557,2.1813305,11,"C/ NÀPOLS, 82",8013,27,True,1000,True,,1661983179,2
3,4,"C/ RIBES, 13",ELECTRICBIKESTATION,41.3933173,2.1812483,8,"C/ RIBES, 13",8013,21,True,1000,True,,1661983179,2
4,5,"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)",ELECTRICBIKESTATION,41.3911035,2.1801763,7,"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)",8018,39,True,1000,True,,1661983179,2
5,6,"PG. LLUIS COMPANYS, 18  (ARC TRIOMF)",ELECTRICBIKESTATION,41.3914292,2.1805685,10,"PG. LLUIS COMPANYS, 18  (ARC TRIOMF)",8018,39,True,1000,True,,1661983179,2
6,7,"PG. PUJADES,  1 (JUTJATS)",ELECTRICBIKESTATION,41.388885,2.18329,6,"PG. PUJADES,  1 (JUTJATS)",8003,27,True,1000,True,,1661983179,2
7,8,"PG. PUJADES, 2",ELECTRICBIKESTATION,41.389135,2.183489,6,"PG. PUJADES, 2",8003,27,True,1000,True,,1661983179,2
8,9,"AV. MARQUÉS DE L'ARGENTERA,13",ELECTRICBIKESTATION,41.384546,2.184922,5,"AV. MARQUÉS DE L'ARGENTERA,13",8003,27,True,1000,True,,1661983179,2
9,10,"C/ 60, NÚMERO 25",ELECTRICBIKESTATION,41.3467746,2.1436235,4,"C/ 60, NÚMERO 25",8040,43,True,1000,True,,1661983179,2
10,11,"PG. MARITIM, 11 (DAVANT PL. BRUGADA)",ELECTRICBIKESTATION,41.3812425,2.1933482,7,"PG. MARITIM, 11 (DAVANT PL. BRUGADA)",8003,35,True,1000,True,,1661983179,2
11,12,"PG. MARITIM, 23 (HOSPITAL DEL MAR)",ELECTRICBIKESTATION,41.3833653,2.1946255,7,"PG. MARITIM, 23 (HOSPITAL DEL MAR)",8003,26,True,1000,True,,1661983179,2
12,13,"CARRER DE LA MARINA, 25-33",ELECTRICBIKESTATION,41.3881248,2.1951871,7,"CARRER DE LA MARINA, 25-33",8005,54,True,1000,True,,1661983179,2
13,14,"AV. MARQUÉS DE  L'ARGENTERA, 15",ELECTRICBIKESTATION,41.384844,2.185085,5,"AV. MARQUÉS DE  L'ARGENTERA, 15",8003,27,True,1000,True,,1661983179,2
14,15,"C/ CONSELL DE CENT, 397",ELECTRICBIKESTATION,41.3949085,2.1706023,25,"C/ CONSELL DE CENT, 397",8009,27,True,1000,True,,1661983179,2
15,17,"AV. MERIDIANA, 47 (D)",ELECTRICBIKESTATION,41.3982615,2.1866517,14,"AV. MERIDIANA, 47 (D)",8013,42,True,1000,True,,1661983179,2
16,18,"C/ ROSSELLÓ, 453",ELECTRICBIKESTATION,41.4060589,2.1740472,38,"C/ ROSSELLÓ, 453",8025,25,True,1000,True,,1661983179,2
17,19,"C/ ROSSELLÓ, 354",ELECTRICBIKESTATION,41.4031491,2.1707947,40,"C/ ROSSELLÓ, 354",8025,30,True,1000,True,,1661983179,2
18,20,"C/ CARTAGENA, 308",ELECTRICBIKESTATION,41.410314,2.1757334,46,"C/ CARTAGENA, 308",8025,18,True,1000,True,,1661983179,2
19,21,"C/ SANT ANTONI MARIA CLARET, 214",ELECTRICBIKESTATION,41.4108439,2.1740575,52,"C/ SANT ANTONI MARIA CLARET, 214",8025,21,True,1000,True,,1661983179,2
20,22,"C/ SARDENYA, 292",ELECTRICBIKESTATION,41.4016969,2.175767,28,"C/ SARDENYA, 292",8013,19,True,1000,True,,1661983179,2
21,23,"C/ BRUC, 45",ELECTRICBIKESTATION,41.3924661,2.1717397,21,"C/ BRUC, 45",8010,27,True,1000,True,,1661983179,2
22,24,"C/ MARINA, 199",ELECTRICBIKESTATION,41.4005784,2.1788855,23,"C/ MARINA, 199",8013,30,True,1000,True,,1661983179,2
23,25,"C/ BRUC, 102",ELECTRICBIKESTATION,41.3954041,2.1681961,29,"C/ BRUC, 102",8009,21,True,1000,True,,1661983179,2
24,26,"C/ DOS DE MAIG, 230-232",ELECTRICBIKESTATION,41.4071692,2.1820722,22,"C/ DOS DE MAIG, 230-232",8013,18,True,1000,True,,1661983179,2
25,27,"C/ PROVENÇA, 322",ELECTRICBIKESTATION,41.3967524,2.1646338,38,"C/ PROVENÇA, 322",8037,21,True,1000,True,,1661983179,2
26,28,"C/ SARDENYA, 362",ELECTRICBIKESTATION,41.4055143,2.1706498,46,"C/ SARDENYA, 362",8025,23,True,1000,True,,1661983179,2
27,29,"C/ PROVENÇA, 388-390",ELECTRICBIKESTATION,41.401061,2.169941,34,"C/ PROVENÇA, 388-390",8025,23,True,1000,True,,1661983179,2
28,30,"C/ CASTILLEJOS, 184",ELECTRICBIKESTATION,41.4021805,2.1829894,13,"C/ CASTILLEJOS, 184",8013,29,True,1000,True,,1661983179,2
29,31,PL. DEL MAR,ELECTRICBIKESTATION,41.3748001,2.1889045,4,PL. DEL MAR,8003,18,True,1000,True,,1661983179,2
30,32,LA BARCELONETA (CN BARCELONETA),ELECTRICBIKESTATION,41.3736911,2.188928,4,LA BARCELONETA (CN BARCELONETA),8003,15,True,1000,True,,1661983179,2
31,33,C/ PONTEVEDRA / JUDICI,ELECTRICBIKESTATION,41.37686,2.19067,4,C/ PONTEVEDRA / JUDICI,8003,21,True,1000,True,,1661983179,2
32,34,"C/ SANT PERE MÉS ALT, 4",ELECTRICBIKESTATION,41.3871079,2.1753364,9,"C/ SANT PERE MÉS ALT, 4",8003,21,True,1000,True,,1661983179,2
33,35,"C/ SANT RAMON DE PENYAFORT, 1",ELECTRICBIKESTATION,41.4134833,2.2206913,5,"C/ SANT RAMON DE PENYAFORT, 1",8930,43,True,1000,True,,1661983179,2
34,36,"AV. DE LA CATEDRAL, 6",ELECTRICBIKESTATION,41.3850616,2.1766834,8,"AV. DE LA CATEDRAL, 6",8002,21,True,1000,True,,1661983179,2
35,37,"PL. ANTONIO LÓPEZ (CORREUS, VIA LAIETANA",ELECTRICBIKESTATION,41.381316,2.181903,4,"PL. ANTONIO LÓPEZ (CORREUS, VIA LAIETANA)",8002,24,True,1000,True,,1661983179,2
36,39,BITTER KAS-PL. PAU VILA (D),ELECTRICBIKESTATION,41.381046,2.186576,4,BITTER KAS-PL. PAU VILA (D),8039,44,True,1000,True,,1661983179,2
37,40,"C/ DOCTOR AIGUADER, 2",ELECTRICBIKESTATION,41.382335,2.187093,6,"C/ DOCTOR AIGUADER, 2",8039,17,True,1000,True,,1661983179,2
38,41,PL. POETA BOSCÀ/ATLÀNTIDA,ELECTRICBIKESTATION,41.379326,2.189906,5,PL. POETA BOSCÀ/ATLÀNTIDA,8003,25,True,1000,True,,1661983179,2
39,42,"C/ CIUTAT DE GRANADA, 168 / AV. DIAGONAL",ELECTRICBIKESTATION,41.404511,2.189881,4,"C/ CIUTAT DE GRANADA, 168 / AV. DIAGONAL",8018,24,True,1000,True,,1661983179,2
40,43,"C/ CLOT, 1",ELECTRICBIKESTATION,41.4063864,2.1874404,13,"C/ CLOT, 1",8018,27,True,1000,True,,1661983179,2
41,44,"AV. MERIDIANA, 66 (COSTAT METRO GLORIES)",ELECTRICBIKESTATION,41.4018969,2.1871575,16,"AV. MERIDIANA, 66 ( COSTAT METRO GLORIES)",8018,21,True,1000,True,,1661983179,2
42,45,"C/ SARDENYA, 66",ELECTRICBIKESTATION,41.3913036,2.189476,5,"C/ SARDENYA, 66",8005,27,True,1000,True,,1661983179,2
43,46,"C/ RAMON TRIAS FARGAS, 19 (D)",ELECTRICBIKESTATION,41.3885744,2.1930099,7,"C/ RAMON TRIAS FARGAS, 19 (D)",8005,54,True,1000,True,,1661983179,2
44,47,"C/ RAMON TRIAS FARGAS, 21",ELECTRICBIKESTATION,41.3902194,2.1904003,5,"C/ RAMON TRIAS FARGAS, 21",8005,47,True,1000,True,,1661983179,2
45,48,"AV. MERIDIANA, 40",ELECTRICBIKESTATION,41.3960652,2.1871959,11,"AV. MERIDIANA, 40",8018,21,True,1000,True,,1661983179,2
46,49,"C/ ROSA SENSAT, 20",ELECTRICBIKESTATION,41.3910756,2.1965766,5,"C/ ROSA SENSAT, 20",8005,20,True,1000,True,,1661983179,2
47,50,"AV. PARAL.LEL, 54",ELECTRICBIKESTATION,41.3751145,2.1709386,8,"AV. PARAL.LEL, 54",8004,18,True,1000,True,,1661983179,2
48,51,PL. VICENÇ MARTORELL,ELECTRICBIKESTATION,41.3842634,2.1692556,12,PL. VICENÇ MARTORELL,8001,20,True,1000,True,,1661983179,2
49,52,"PL. SANT MIQUEL, 4",ELECTRICBIKESTATION,41.381708,2.177292,11,"PL. SANT MIQUEL, 4",8002,32,True,1000,True,,1661983179,2
50,53,PL. CARLES PI I SUNYER,ELECTRICBIKESTATION,41.385086,2.174016,10,PL. CARLES PI I SUNYER,8002,21,True,1000,True,,1661983179,2
51,54,"C/ SANT OLEGUER, 2",ELECTRICBIKESTATION,41.3775319,2.1707321,6,"C/ SANT OLEGUER, 2",8001,19,True,1000,True,,1661983179,2
52,55,"LA RAMBLA, 80",ELECTRICBIKESTATION,41.3814279,2.1732861,8,"LA RAMBLA, 80",8002,19,True,1000,True,,1661983179,2
53,56,"PORTAL DE SANTA MADRONA, 2-4",ELECTRICBIKESTATION,41.3770715,2.1758261,5,"PORTAL DE SANTA MADRONA, 2-4",8001,27,True,1000,True,,1661983179,2
54,57,"RAMBLA, 2",ELECTRICBIKESTATION,41.3768761,2.1772251,4,"RAMBLA, 2",8002,23,True,1000,True,,1661983179,2
55,58,PLAÇA DELS ÀNGELS (MACBA),ELECTRICBIKESTATION,41.38268,2.16712,11,PLAÇA DELS ÀNGELS (MACBA),8001,43,True,1000,True,,1661983179,2
56,60,"RAMBLA CATALUNYA, 47",ELECTRICBIKESTATION,41.3902625,2.164035,27,"RAMBLA CATALUNYA, 47",8007,27,True,1000,True,,1661983179,2
57,61,"C/  PAU CLARIS, 120",ELECTRICBIKESTATION,41.3923875,2.1679349,26,"C/ PAU CLARIS, 120",8009,21,True,1000,True,,1661983179,2
58,62,"BITTER KAS-PL. CATALUNYA, 5",ELECTRICBIKESTATION,41.387235,2.168819,19,"BITTER KAS-PL. CATALUNYA, 5",8002,25,True,1000,True,,1661983179,2
59,63,"PL. CATALUNYA, 7",ELECTRICBIKESTATION,41.386543,2.169427,19,"PL. CATALUNYA, 7",8002,27,True,1000,True,,1661983179,2
60,64,"PL. CATALUNYA, 10-11 (RAMBLA)",ELECTRICBIKESTATION,41.387493,2.1690686,21,"PL. CATALUNYA, 10-11 (RAMBLA)",8002,21,True,1000,True,,1661983179,2
61,65,"PL. CATALUNYA, 10-11 (PG. DE GRACIA)",ELECTRICBIKESTATION,41.387696,2.1696543,20,"PL. CATALUNYA, 10-11 (PG. DE GRACIA)",8002,21,True,1000,True,,1661983179,2
62,66,"GRAN VIA DE LES CORTS CATALANES, 609",ELECTRICBIKESTATION,41.3893222,2.1678388,23,"GRAN VIA DE LES CORTS CATALANES, 609",8007,16,True,1000,True,,1661983179,2
63,67,"C/ ROCAFORT, 214 / ROSSELLÓ",ELECTRICBIKESTATION,41.3852864,2.1454802,37,"C/ ROCAFORT, 214 / ROSSELLÓ",8029,24,True,1000,True,,1661983179,2
64,68,"RAMBLA CATALUNYA, 133 /  CÒRSEGA",ELECTRICBIKESTATION,41.3953894,2.1572953,44,"RAMBLA CATALUNYA, 133 /  CÒRSEGA",8008,27,True,1000,True,,1661983179,2
65,69,"CARRER DE LA MARINA,25-33",ELECTRICBIKESTATION,41.3881248,2.1951871,7,"CARRER DE LA MARINA,25-33",8005,43,True,1000,True,,1661983179,2
